INFO | main - QMainApp | sun.io.unicode.encoding = UnicodeLittle
INFO | main - QMainApp | sun.jnu.encoding = Cp1252
INFO | main - QMainApp | sun.management.compiler = HotSpot Client Compiler
INFO | main - QMainApp | sun.os.patch.level = Service Pack 2
INFO | main - QMainApp | user.country = US
INFO | main - QMainApp | user.dir = C:\Program Files\Qarbon\ViewletBuilder4\
INFO | main - QMainApp | user.home = C:\Documents and Settings\Nicole
INFO | main - QMainApp | user.language = en
INFO | main - QMainApp | user.name = Nicole
INFO | main - QMainApp | user.timezone = 
INFO | main - QMainApp | user.variant = 
INFO | main - QMainApp | -----------------------------------------------------
INFO | main - QMainApp | Application Properties
INFO | main - QMainApp | -----------------------------------------------------
INFO | main - QMainApp | central = ViewletCentral
INFO | main - QMainApp | displayEditionInTitle = true
INFO | main - QMainApp | homepage = http://www.qarbon.com
INFO | main - QMainApp | metaKeywords = qarbon, viewlet, viewletbuilder, demo software, animation software, on line training, flash tutorial, flash demo, multimedia presentation, interactive software, training, software, online presentation, it help desk software, presentation software, learning software, online documentation, simulation software, viewlets
INFO | main - QMainApp | skin = ViewletSkin
INFO | main - QMainApp | splashTextColor = #9094A0
INFO | main - QMainApp | viewlet = Viewlet
INFO | main - QMainApp | viewletActionsChecksum = 41644B-5E73-4B3C76635C2A6707-012E-80
INFO | main - QMainApp | viewletCentralEnabled = true
INFO | main - QMainApp | zoneElementsChecksum = -3046-09-7E-43-60371D-55-5532-48-76-0B-6A4C
INFO | main - leelou.v.u | Copying from: qarbon_gray.qvs to qarbon_gray.qvs
INFO | main - leelou.v.u | Copying from: vb4_frame.qvs to vb4_frame.qvs
DEBUG | main - leelou.i.a | sendback=A46D-61AE
INFO | main - leelou.w.i | Loading default default file: resources/defaults.xml
INFO | main - leelou.w.i | Loading default file: C:\Documents and Settings\Nicole\ViewletBuilder4\defaults.xml
DEBUG | main - leelou.kb | free 60594856
DEBUG | main - leelou.kb | total66715648
DEBUG | main - leelou.kb | remove doc
DEBUG | main - QMainApp | 3219 ms to initialize
